pid,lat,lon,coords,points
4338957434,51.0905,-1.1605,POINT (-1.1605 51.0905),POINT (-1.1605 51.0905)
4329649875,51.114,-1.49169,POINT (-1.49169 51.114),POINT (-1.49169 51.114)
4265285301,57.0453,-2.49306,POINT (-2.49306 57.0453),POINT (-2.49306 57.0453)
4387683852,52.9514,-1.14603,POINT (-1.14603 52.9514),POINT (-1.14603 52.9514)
4290768746,50.9661,-1.34891,POINT (-1.34891 50.9661),POINT (-1.34891 50.9661)
4282708593,51.2099,-1.48026,POINT (-1.48026 51.2099),POINT (-1.48026 51.2099)
4280413089,51.7416,-2.40343,POINT (-2.40343 51.7416),POINT (-2.40343 51.7416)
4284264317,51.7416,-2.40343,POINT (-2.40343 51.7416),POINT (-2.40343 51.7416)
4283445010,51.2109,-1.48038,POINT (-1.48038 51.2109),POINT (-1.48038 51.2109)
4290538572,51.5996,-2.21585,POINT (-2.21585 51.5996),POINT (-2.21585 51.5996)
4289804901,51.5996,-2.21585,POINT (-2.21585 51.5996),POINT (-2.21585 51.5996)
4283420470,51.2092,-1.47899,POINT (-1.47899 51.2092),POINT (-1.47899 51.2092)
4328627522,51.114,-1.49169,POINT (-1.49169 51.114),POINT (-1.49169 51.114)
4306652845,51.4472,-2.60213,POINT (-2.60213 51.4472),POINT (-2.60213 51.4472)
4367184482,51.5135,-0.112727,POINT (-0.112727 51.5135),POINT (-0.112727 51.5135)
4387555747,51.4566,-2.60668,POINT (-2.60668 51.4566),POINT (-2.60668 51.4566)
4297565469,51.4483,-2.61294,POINT (-2.61294 51.4483),POINT (-2.61294 51.4483)
4402550208,51.3445,-2.97191,POINT (-2.97191 51.3445),POINT (-2.97191 51.3445)
4394933675,51.4407,-2.59349,POINT (-2.59349 51.4407),POINT (-2.59349 51.4407)
4270095426,51.4543,-2.62569,POINT (-2.62569 51.4543),POINT (-2.62569 51.4543)
4279125179,51.4488,-2.62353,POINT (-2.62353 51.4488),POINT (-2.62353 51.4488)
4276802429,51.4488,-2.62353,POINT (-2.62353 51.4488),POINT (-2.62353 51.4488)
4274143945,51.4488,-2.62353,POINT (-2.62353 51.4488),POINT (-2.62353 51.4488)
4281425546,51.4488,-2.62353,POINT (-2.62353 51.4488),POINT (-2.62353 51.4488)
4289059298,51.4488,-2.62353,POINT (-2.62353 51.4488),POINT (-2.62353 51.4488)
4267383150,51.4553,-2.62651,POINT (-2.62651 51.4553),POINT (-2.62651 51.4553)
